camera_id,score,label,weather_class,is_daytime,tags,pool_id,source,timestamp
130,69,sunset-extended,clear,undefined,"Mountain Range|Natural Scenery",4,rule,2025-12-14T10:15:19.517Z
26,63,clear-day,clear,undefined,"Natural Scenery",4,rule,2025-12-14T10:15:19.517Z
87,63,clear-day,clear,undefined,"Mountain Range",4,rule,2025-12-14T10:15:19.517Z
110,62,clear-day,clear,undefined,"Ski Resort|Street Scene",4,rule,2025-12-14T10:15:19.517Z
118,62,clear-day,clear,undefined,"Ski Resort|Mountain Range",4,rule,2025-12-14T10:15:19.517Z
88,62,clear-day,clear,undefined,"Mountain Range",4,rule,2025-12-14T10:15:19.517Z
99,60,clear-day,clear,undefined,"Mountain Range|Natural Scenery",4,rule,2025-12-14T10:15:19.517Z
90,60,clear-day,clear,undefined,"Cultural Landmark",4,rule,2025-12-14T10:15:19.517Z
89,60,clear-day,clear,undefined,"City Skyline",4,rule,2025-12-14T10:15:19.518Z
22,59,clear-day,clear,undefined,"Cultural Landmark",4,rule,2025-12-14T10:15:19.518Z
128,59,clear-day,clear,undefined,"Harbor|Cultural Landmark",4,rule,2025-12-14T10:15:19.518Z
41,59,clear-day,clear,undefined,"Coastline",4,rule,2025-12-14T10:15:19.518Z
36,59,clear-day,clear,undefined,"Cultural Landmark",4,rule,2025-12-14T10:15:19.518Z
91,59,clear-day,clear,undefined,"Harbor|Cultural Landmark",4,rule,2025-12-14T10:15:19.518Z
28,58,clear-day,clear,undefined,"Railway",4,rule,2025-12-14T10:15:19.518Z
14,58,clear-day,clear,undefined,"Railway",4,rule,2025-12-14T10:15:19.518Z
43,58,clear-day,clear,undefined,"Street Scene|Cultural Landmark",4,rule,2025-12-14T10:15:19.518Z
55,58,clear-day,clear,undefined,"City Skyline|Harbor",4,rule,2025-12-14T10:15:19.518Z
4,57,clear-day,clear,undefined,"Cultural Landmark",4,rule,2025-12-14T10:15:19.518Z
114,54,clear-day,clear,undefined,"Street Scene",4,rule,2025-12-14T10:15:19.518Z
44,53,clear-day,clear,undefined,"Cultural Landmark",4,rule,2025-12-14T10:15:19.518Z
123,50,sunset-primary,light-snow,undefined,"Aurora|Arctic Circle",4,rule,2025-12-14T10:15:19.518Z
100,42,city-skyline-night,clear,undefined,"City Skyline|Harbor",4,rule,2025-12-14T10:15:19.518Z
58,41,sunset-extended,light-snow,undefined,"Street Scene|Arctic Circle",4,rule,2025-12-14T10:15:19.518Z
35,40,city-skyline-night,clear,undefined,"City Skyline|Cultural Landmark",4,rule,2025-12-14T10:15:19.518Z
20,39,city-skyline-night,clear,undefined,"City Skyline",4,rule,2025-12-14T10:15:19.518Z
67,39,city-skyline-night,clear,undefined,"City Skyline|Harbor",4,rule,2025-12-14T10:15:19.518Z
53,39,city-skyline-night,clear,undefined,"City Skyline",4,rule,2025-12-14T10:15:19.518Z
62,39,city-skyline-night,clear,undefined,"City Skyline|Harbor",4,rule,2025-12-14T10:15:19.518Z
96,39,city-skyline-night,clear,undefined,"City Skyline",4,rule,2025-12-14T10:15:19.518Z
49,31,sunset-primary,other,undefined,"Coastline",5,rule,2025-12-14T10:15:19.518Z
45,25,sunrise-extended,other,undefined,"Natural Scenery|Coastline",5,rule,2025-12-14T10:15:19.518Z
82,23,clear-day,partly-cloudy,undefined,"Wildlife",4,rule,2025-12-14T10:15:19.518Z
86,23,clear-day,partly-cloudy,undefined,"Mountain Range|Ski Resort",4,rule,2025-12-14T10:15:19.518Z
19,22,clear-day,partly-cloudy,undefined,"Wildlife",4,rule,2025-12-14T10:15:19.518Z
8,21,clear-day,other,undefined,"Street Scene",4,rule,2025-12-14T10:15:19.518Z
15,21,clear-day,partly-cloudy,undefined,"Cultural Landmark",5,rule,2025-12-14T10:15:19.518Z
18,21,clear-day,partly-cloudy,undefined,"Harbor",5,rule,2025-12-14T10:15:19.518Z
127,21,clear-day,other,undefined,"Street Scene|Cultural Landmark",4,rule,2025-12-14T10:15:19.518Z
76,21,clear-day,partly-cloudy,undefined,"Cultural Landmark",5,rule,2025-12-14T10:15:19.518Z
72,21,clear-day,other,undefined,"Harbor|Cultural Landmark",5,rule,2025-12-14T10:15:19.518Z
47,21,clear-day,partly-cloudy,undefined,"Coastline",5,rule,2025-12-14T10:15:19.518Z
21,20,clear-day,other,undefined,"Coastline",5,rule,2025-12-14T10:15:19.518Z
6,20,clear-day,other,undefined,"Railway|Street Scene",4,rule,2025-12-14T10:15:19.518Z
113,20,night,clear,undefined,"Ski Resort",4,rule,2025-12-14T10:15:19.518Z
107,20,clear-day,partly-cloudy,undefined,"Street Scene|Cultural Landmark",4,rule,2025-12-14T10:15:19.518Z
115,20,clear-day,other,undefined,"City Skyline|Cultural Landmark",4,rule,2025-12-14T10:15:19.518Z
81,20,clear-day,other,undefined,"Wildlife",4,rule,2025-12-14T10:15:19.518Z
63,19,night,clear,undefined,"Mountain Range|Coastline",4,rule,2025-12-14T10:15:19.518Z
2,19,night,clear,undefined,"Mountain Range|Natural Scenery",4,rule,2025-12-14T10:15:19.518Z
51,19,night,clear,undefined,"Mountain Range|Natural Scenery",4,rule,2025-12-14T10:15:19.518Z
93,19,night,clear,undefined,"Ski Resort|Street Scene",4,rule,2025-12-14T10:15:19.518Z
9,19,clear-day,other,undefined,"Wildlife",5,rule,2025-12-14T10:15:19.518Z
64,19,night,clear,undefined,"Street Scene|Mountain Range",4,rule,2025-12-14T10:15:19.518Z
95,19,night,clear,undefined,"Ski Resort|Mountain Range",4,rule,2025-12-14T10:15:19.518Z
125,19,night,clear,undefined,"Street Scene",4,rule,2025-12-14T10:15:19.518Z
34,19,night,clear,undefined,"Airport",4,rule,2025-12-14T10:15:19.518Z
101,19,night,clear,undefined,"Street Scene",4,rule,2025-12-14T10:15:19.518Z
119,19,night,clear,undefined,"Natural Scenery|Mountain Range",4,rule,2025-12-14T10:15:19.518Z
129,19,night,clear,undefined,"Mountain Range|Natural Scenery",4,rule,2025-12-14T10:15:19.518Z
131,19,night,clear,undefined,"Mountain Range|Natural Scenery",4,rule,2025-12-14T10:15:19.518Z
73,18,night,clear,undefined,"Harbor",4,rule,2025-12-14T10:15:19.518Z
46,18,night,clear,undefined,"Cultural Landmark",4,rule,2025-12-14T10:15:19.518Z
5,18,night,clear,undefined,"Natural Scenery",4,rule,2025-12-14T10:15:19.518Z
70,18,night,clear,undefined,"Mountain Range|Harbor",4,rule,2025-12-14T10:15:19.518Z
92,17,night,clear,undefined,"Street Scene",5,rule,2025-12-14T10:15:19.518Z
16,17,clear-day,other,undefined,"Coastline",5,rule,2025-12-14T10:15:19.518Z
1,17,night,clear,undefined,"Aurora|Arctic Circle|Natural Scenery",4,rule,2025-12-14T10:15:19.518Z
59,17,night,clear,undefined,"Airport|Arctic Circle",4,rule,2025-12-14T10:15:19.518Z
102,17,night,clear,undefined,"Cultural Landmark",4,rule,2025-12-14T10:15:19.518Z
69,17,night,clear,undefined,"Cultural Landmark",4,rule,2025-12-14T10:15:19.518Z
68,17,night,clear,undefined,"Street Scene",5,rule,2025-12-14T10:15:19.518Z
66,17,night,clear,undefined,"Street Scene",5,rule,2025-12-14T10:15:19.518Z
60,17,night,clear,undefined,"Airport|Arctic Circle",4,rule,2025-12-14T10:15:19.518Z
80,17,clear-day,other,undefined,"Railway",5,rule,2025-12-14T10:15:19.518Z
84,17,night,clear,undefined,"Natural Scenery",4,rule,2025-12-14T10:15:19.518Z
32,9,night,light-snow,undefined,"Street Scene|Arctic Circle",5,rule,2025-12-14T10:15:19.518Z
38,9,night,light-snow,undefined,"Ski Resort",5,rule,2025-12-14T10:15:19.518Z
3,9,night,light-snow,undefined,"Ski Resort|Arctic Circle",5,rule,2025-12-14T10:15:19.518Z
30,9,night,light-snow,undefined,"Ski Resort|Arctic Circle",5,rule,2025-12-14T10:15:19.518Z
31,9,night,light-snow,undefined,"Ski Resort|Arctic Circle",5,rule,2025-12-14T10:15:19.518Z
29,9,night,light-snow,undefined,"Ski Resort|Arctic Circle",5,rule,2025-12-14T10:15:19.518Z
17,9,night,light-snow,undefined,"Airport|Arctic Circle",5,rule,2025-12-14T10:15:19.518Z
33,9,night,light-snow,undefined,"Street Scene|Arctic Circle",5,rule,2025-12-14T10:15:19.518Z
117,9,night,light-snow,undefined,"Mountain Range|Natural Scenery",5,rule,2025-12-14T10:15:19.518Z
54,9,night,light-snow,undefined,"Cultural Landmark",5,rule,2025-12-14T10:15:19.518Z
25,9,night,light-snow,undefined,"Aurora|Arctic Circle",5,rule,2025-12-14T10:15:19.518Z
42,7,night,partly-cloudy,undefined,"City Skyline",5,rule,2025-12-14T10:15:19.518Z
12,7,night,partly-cloudy,undefined,"City Skyline|Harbor",5,rule,2025-12-14T10:15:19.518Z
120,7,night,other,undefined,"Street Scene",5,rule,2025-12-14T10:15:19.518Z
50,7,night,partly-cloudy,undefined,"Railway",5,rule,2025-12-14T10:15:19.518Z
106,7,night,other,undefined,"Coastline|Harbor",5,rule,2025-12-14T10:15:19.518Z
103,7,night,other,undefined,"City Skyline",5,rule,2025-12-14T10:15:19.518Z
111,7,night,partly-cloudy,undefined,"Railway",5,rule,2025-12-14T10:15:19.518Z
71,7,night,partly-cloudy,undefined,"Harbor|City Skyline",5,rule,2025-12-14T10:15:19.518Z
105,7,night,other,undefined,"Natural Scenery",5,rule,2025-12-14T10:15:19.518Z
27,6,night,other,undefined,"Harbor|Coastline",5,rule,2025-12-14T10:15:19.518Z
52,6,night,other,undefined,"Street Scene|Mountain Range",5,rule,2025-12-14T10:15:19.518Z
24,6,night,other,undefined,"Coastline",5,rule,2025-12-14T10:15:19.518Z
39,6,night,other,undefined,"City Skyline",5,rule,2025-12-14T10:15:19.518Z
97,6,night,other,undefined,"Railway",5,rule,2025-12-14T10:15:19.518Z
11,6,night,other,undefined,"City Skyline|Mountain Range",5,rule,2025-12-14T10:15:19.518Z
10,6,night,other,undefined,"Railway|Coastline",5,rule,2025-12-14T10:15:19.518Z
121,6,night,other,undefined,"Railway",5,rule,2025-12-14T10:15:19.518Z
126,6,night,other,undefined,"Mountain Range|Natural Scenery",5,rule,2025-12-14T10:15:19.518Z
57,6,night,other,undefined,"Natural Scenery",5,rule,2025-12-14T10:15:19.518Z
108,6,night,partly-cloudy,undefined,"Aurora|Arctic Circle",5,rule,2025-12-14T10:15:19.518Z
104,6,night,other,undefined,"Railway",5,rule,2025-12-14T10:15:19.518Z
109,6,night,other,undefined,"Wildlife|Coastline",5,rule,2025-12-14T10:15:19.518Z
112,6,night,other,undefined,"Harbor|Coastline",5,rule,2025-12-14T10:15:19.518Z
116,6,night,other,undefined,"Railway|Mountain Range",5,rule,2025-12-14T10:15:19.518Z
78,6,night,other,undefined,"Coastline|City Skyline",5,rule,2025-12-14T10:15:19.518Z
48,5,night,other,undefined,"Mountain Range|Natural Scenery",5,rule,2025-12-14T10:15:19.518Z
94,5,night,other,undefined,"Street Scene",5,rule,2025-12-14T10:15:19.518Z
98,5,night,other,undefined,"Street Scene",5,rule,2025-12-14T10:15:19.518Z
40,4,night,other,undefined,"Coastline",5,rule,2025-12-14T10:15:19.518Z
7,4,night,other,undefined,"Street Scene",5,rule,2025-12-14T10:15:19.518Z
13,4,night,other,undefined,"City Skyline",5,rule,2025-12-14T10:15:19.518Z
122,4,night,other,undefined,"Cultural Landmark|Harbor",5,rule,2025-12-14T10:15:19.518Z
56,4,night,other,undefined,"City Skyline",5,rule,2025-12-14T10:15:19.518Z
23,4,night,other,undefined,"City Skyline",5,rule,2025-12-14T10:15:19.518Z
124,4,night,other,undefined,"Coastline|Street Scene",5,rule,2025-12-14T10:15:19.518Z
61,3,night,other,undefined,"Street Scene",5,rule,2025-12-14T10:15:19.518Z
